Alter 18 Jahre oder älter, 200
Alter zwischen 18 und 65 Jahren, 180
Alter zwischen 18 und 75 Jahren, 160
Diagnose der untersuchten Erkrankung durch einen Arzt bestätigt, 190
Fähigkeit zur schriftlichen Einwilligungserklärung, 200
Bereitschaft, alle Studienverfahren einzuhalten, 190
Fähigkeit, alle geplanten Besuche wahrzunehmen, 180
Body-Mass-Index (BMI) zwischen 18,5 und 30 kg/m², 150
Body-Mass-Index (BMI) zwischen 18,5 und 35 kg/m², 140
Normale Nierenfunktion, 130
Normale Leberfunktion, 130
Normale Herzfunktion, 120
Ausreichende Knochenmarkfunktion, 110
Ausreichende Nierenfunktion, 110
Ausreichende Leberfunktion, 110
Negativer Schwangerschaftstest für Frauen im gebärfähigen Alter, 150
Bereitschaft zur Verwendung wirksamer Verhütungsmethoden während der Studie, 140
Stabil unter aktuellem Medikamentenregime für mindestens 4 Wochen, 130
Keine größere Operation innerhalb von 8 Wochen vor der Aufnahme, 120
Keine Teilnahme an einer anderen klinischen Studie innerhalb von 30 Tagen, 150
Keine Vorgeschichte allergischer Reaktionen auf ähnliche Verbindungen, 140
Keine signifikante Krankengeschichte, die die Studie beeinträchtigen könnte, 130
Keine aktive Infektion, die eine Behandlung erfordert, 120
Keine Vorgeschichte von Substanzmissbrauch im vergangenen Jahr, 110
Keine psychiatrischen Erkrankungen, die die Studienteilnahme beeinträchtigen könnten, 100
Lebenserwartung von mindestens 3 Monaten, 90
Lebenserwartung von mindestens 6 Monaten, 90
Lebenserwartung von mindestens 12 Monaten, 80
Eastern Cooperative Oncology Group (ECOG) Performance-Status von 0-1, 100
Eastern Cooperative Oncology Group (ECOG) Performance-Status von 0-2, 90
Karnofsky Performance Status (KPS) Score ≥ 70%, 80
Messbare Erkrankung gemäß RECIST-Kriterien, 70
Dokumentierte Krankheitsprogression unter vorheriger Therapie, 60
Abgeschlossene vorherige Therapie mindestens 4 Wochen vor der Aufnahme, 70
Erholung von Toxizitäten früherer Therapien, 60
Bereitschaft, erforderliche Biopsien durchführen zu lassen, 50
Bereitschaft, Blutproben für die Forschung bereitzustellen, 80
Bereitschaft, Fragebögen zur Lebensqualität auszufüllen, 70
Fähigkeit, orale Medikamente zu schlucken und zu behalten, 90
Keine Kontraindikationen für MRT oder CT-Untersuchungen, 80 